,Unnamed: 0.1,Unnamed: 0,train_loss,val_loss,train_acc,val_acc
0,0.0,0.0,3.638784745160271,3.2302306051607483,0.048849104859335,0.1042028985507246
1,1.0,1.0,3.0488944536720224,2.7633726596832275,0.1451150895140665,0.2080434782608695
2,2.0,2.0,2.6510723463070938,2.3493108175418995,0.2439641943734015,0.3128260869565217
3,3.0,3.0,2.225350626153884,1.8519858850373163,0.3542966751918158,0.4496376811594202
4,4.0,4.0,1.8239357268888188,1.554619171001293,0.4625319693094629,0.5321014492753623
5,5.0,5.0,1.5199312992345273,1.1870442430178323,0.5453964194373402,0.6415217391304348
6,6.0,6.0,1.3095780751284432,1.0285965204238892,0.6051278772378517,0.6871014492753623
7,7.0,7.0,1.1241689437355091,0.9040279929284696,0.6601023017902813,0.7270289855072464
8,8.0,8.0,0.9785548090155608,0.7405907561381658,0.7025831202046036,0.7747101449275362
9,9.0,9.0,0.8644360790844836,0.6792735253219251,0.7373529411764705,0.7904347826086957
10,10.0,10.0,0.7856229119051515,0.6461263263115177,0.7596547314578005,0.8015942028985508
11,11.0,11.0,0.7109964844448114,0.5016165701327501,0.7832097186700767,0.8489130434782609
12,12.0,12.0,0.6528883782866733,0.4800043735239241,0.8009462915601023,0.8560144927536232
13,13.0,13.0,0.6125007351629095,0.4543746053068726,0.8122762148337596,0.8579710144927536
14,14.0,14.0,0.5509998064025555,0.4335658075632872,0.8307928388746804,0.8668840579710145
15,15.0,15.0,0.5260903843088087,0.3815190487161831,0.8374424552429668,0.8840579710144928
16,16.0,16.0,0.4960855457907409,0.3602919048733181,0.8453580562659847,0.8890579710144928
17,17.0,17.0,0.4589102957762924,0.369684977111993,0.8582480818414322,0.8866666666666667
18,18.0,18.0,0.4384823079202689,0.334632874638946,0.8645012787723785,0.898840579710145
19,19.0,19.0,0.4163770636701895,0.3234666359645349,0.8698976982097186,0.9018840579710145
20,20.0,20.0,0.3978548256400364,0.3032926229967011,0.8763938618925832,0.9059420289855072
21,21.0,21.0,0.3697834788194669,0.297557125488917,0.8850383631713555,0.9108695652173912
22,22.0,22.0,0.3638886859993529,0.3223956792994781,0.8856393861892583,0.8994927536231884
23,23.0,23.0,0.3543212891014572,0.296681770985877,0.8892966751918159,0.909855072463768
24,24.0,24.0,0.3416892085589614,0.2577683173671917,0.893081841432225,0.92
25,25.0,25.0,0.3215233371927847,0.2528941574747915,0.8999360613810742,0.9229710144927536
26,26.0,26.0,0.3067749716292799,0.2243318542562149,0.9031074168797952,0.9332608695652174
27,27.0,27.0,0.3026848964247049,0.2357050708874508,0.9047058823529412,0.9288405797101448
28,28.0,28.0,0.2863268126654469,0.2168573952383465,0.9109335038363172,0.9339855072463767
29,29.0,29.0,0.2842134684324264,0.2162645095614371,0.9107161125319692,0.9345652173913044
30,30.0,30.0,0.2805167300249236,0.2082803623267898,0.9114961636828643,0.9339855072463767
31,31.0,31.0,0.2700595910253088,0.1969823463371506,0.9150255754475703,0.9415217391304348
32,32.0,32.0,0.2625792441414852,0.2013993652330504,0.9160869565217392,0.938768115942029
